id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude;regional;delegacia;uop
827;8146;03/01/2017;terça-feira;19:50:00;RJ;101;285;ITABORAI;Sim;Falta de Atenção à Condução;1;Colisão frontal;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Não;6344;Bicicleta;;NA;Condutor;Lesões Leves;49;Masculino;0;1;0;0;-22,75271607;-42,82049663;SR-RJ;DEL5/2;UOP03/RJ
848;1455;03/01/2017;terça-feira;21:10:00;ES;101;141;LINHARES;Sim;Desobediência às normas de trânsito pelo condutor;2;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Múltipla;Reta;Sim;1157;Bicicleta;;NA;Condutor;Lesões Leves;23;Masculino;0;1;0;0;-19,33295157;-40,06855756;SR-ES;DEL12/4;UOP01/ES
848;1455;03/01/2017;terça-feira;21:10:00;ES;101;141;LINHARES;Não;Falta de Atenção à Condução;2;Tombamento;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Múltipla;Reta;Sim;1157;Bicicleta;;NA;Condutor;Lesões Leves;23;Masculino;0;1;0;0;-19,33295157;-40,06855756;SR-ES;DEL12/4;UOP01/ES
848;1455;03/01/2017;terça-feira;21:10:00;ES;101;141;LINHARES;Sim;Desobediência às normas de trânsito pelo condutor;1;Colisão transversal;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Múltipla;Reta;Sim;1157;Bicicleta;;NA;Condutor;Lesões Leves;23;Masculino;0;1;0;0;-19,33295157;-40,06855756;SR-ES;DEL12/4;UOP01/ES
848;1455;03/01/2017;terça-feira;21:10:00;ES;101;141;LINHARES;Não;Falta de Atenção à Condução;1;Colisão transversal;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Múltipla;Reta;Sim;1157;Bicicleta;;NA;Condutor;Lesões Leves;23;Masculino;0;1;0;0;-19,33295157;-40,06855756;SR-ES;DEL12/4;UOP01/ES
985;1710;04/01/2017;quarta-feira;10:00:00;MG;50;21,5;UBERLANDIA;Sim;Falta de Atenção à Condução;1;Colisão lateral;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Sim;1441;Bicicleta;;NA;Condutor;Lesões Leves;43;Masculino;0;1;0;0;-18,93859087;-48,22038084;SR-MG;DEL4/15;UOP02/MG
985;1710;04/01/2017;quarta-feira;10:00:00;MG;50;21,5;UBERLANDIA;Não;Desobediência às normas de trânsito pelo condutor;1;Colisão lateral;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Sim;1441;Bicicleta;;NA;Condutor;Lesões Leves;43;Masculino;0;1;0;0;-18,93859087;-48,22038084;SR-MG;DEL4/15;UOP02/MG
1124;1919;04/01/2017;quarta-feira;21:45:00;SP;116;222;GUARULHOS;Sim;Ingestão de Álcool;2;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Múltipla;Reta;Sim;1619;Bicicleta;;NA;Condutor;Lesões Leves;28;Masculino;0;1;0;0;-23,4725;-46,5197;SR-SP;DEL6/1;UOP01/SP
1124;1919;04/01/2017;quarta-feira;21:45:00;SP;116;222;GUARULHOS;Não;Falta de Atenção à Condução;2;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Múltipla;Reta;Sim;1619;Bicicleta;;NA;Condutor;Lesões Leves;28;Masculino;0;1;0;0;-23,4725;-46,5197;SR-SP;DEL6/1;UOP01/SP
1124;1919;04/01/2017;quarta-feira;21:45:00;SP;116;222;GUARULHOS;Sim;Ingestão de Álcool;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Múltipla;Reta;Sim;1619;Bicicleta;;NA;Condutor;Lesões Leves;28;Masculino;0;1;0;0;-23,4725;-46,5197;SR-SP;DEL6/1;UOP01/SP
1124;1919;04/01/2017;quarta-feira;21:45:00;SP;116;222;GUARULHOS;Não;Falta de Atenção à Condução;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Múltipla;Reta;Sim;1619;Bicicleta;;NA;Condutor;Lesões Leves;28;Masculino;0;1;0;0;-23,4725;-46,5197;SR-SP;DEL6/1;UOP01/SP
1209;4166;05/01/2017;quinta-feira;09:05:00;RJ;40;106,8;DUQUE DE CAXIAS;Sim;Falta de Atenção à Condução;1;Colisão com objeto em movimento;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Múltipla;Interseção de vias;Sim;3244;Bicicleta;CALOI/MONDO;NA;Condutor;Lesões Leves;18;Masculino;0;1;0;0;-22,66699783;-43,2850517;SR-RJ;DEL5/1;UOP01/RJ
1359;2491;05/01/2017;quinta-feira;18:00:00;PI;343;327,9;TERESINA;Sim;Falta de Atenção à Condução;1;Colisão lateral;Com Vítimas Feridas;Plena Noite;Decrescente;Céu Claro;Dupla;Reta;Não;1999;Bicicleta;;NA;Condutor;Lesões Leves;16;Feminino;0;1;0;0;-5,06836318;-42,63681829;SR-PI;DEL17/1;UOP01/PI
1428;3942;06/01/2017;sexta-feira;07:20:00;SP;101;51;UBATUBA;Sim;Não guardar distância de segurança;2;Colisão com objeto em movimento;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;Reta;Sim;3109;Bicicleta;;NA;Testemunha;Não Informado;NA;Não Informado;0;0;0;0;-23,45;-45,0777;SR-SP;DEL6/7;UOP01/SP
1428;3942;06/01/2017;sexta-feira;07:20:00;SP;101;51;UBATUBA;Sim;Não guardar distância de segurança;1;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;Reta;Sim;3109;Bicicleta;;NA;Testemunha;Não Informado;NA;Não Informado;0;0;0;0;-23,45;-45,0777;SR-SP;DEL6/7;UOP01/SP
1428;3940;06/01/2017;sexta-feira;07:20:00;SP;101;51;UBATUBA;Sim;Não guardar distância de segurança;2;Colisão com objeto em movimento;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;Reta;Sim;3109;Bicicleta;;NA;Condutor;Lesões Leves;14;Masculino;0;1;0;0;-23,45;-45,0777;SR-SP;DEL6/7;UOP01/SP
1428;3940;06/01/2017;sexta-feira;07:20:00;SP;101;51;UBATUBA;Sim;Não guardar distância de segurança;1;Tombamento;Com Vítimas Feridas;Pleno dia;Decrescente;Sol;Simples;Reta;Sim;3109;Bicicleta;;NA;Condutor;Lesões Leves;14;Masculino;0;1;0;0;-23,45;-45,0777;SR-SP;DEL6/7;UOP01/SP
1508;5385;06/01/2017;sexta-feira;15:00:00;PR;476;115,8;COLOMBO;Sim;Falta de Atenção à Condução;1;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Nublado;Dupla;Reta;Sim;4138;Bicicleta;;NA;Condutor;Lesões Leves;20;Masculino;0;1;0;0;-25,34794673;-49,16276156;SR-PR;DEL7/1;UOP01/PR
1610;3247;06/01/2017;sexta-feira;20:35:00;BA;116;428;FEIRA DE SANTANA;Sim;Falta de Atenção à Condução;1;Colisão lateral;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;2550;Bicicleta;;NA;Condutor;Lesões Graves;49;Masculino;0;0;1;0;-12,28112785;-38,99711752;SR-BA;DEL10/2;UOP01/BA
1758;3559;07/01/2017;sábado;11:00:00;RS;293;2,3;PELOTAS;Sim;Desobediência às normas de trânsito pelo condutor;1;Colisão transversal;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Simples;Interseção de vias;Sim;2777;Bicicleta;;NA;Condutor;Lesões Leves;56;Masculino;0;1;0;0;-31,74127491;-52,36394852;SR-RS;DEL9/7;UOP01/RS
1782;3527;07/01/2017;sábado;09:00:00;BA;407;8;JUAZEIRO;Sim;Falta de Atenção à Condução;1;Colisão lateral;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Sim;2758;Bicicleta;;NA;Condutor;Lesões Graves;74;Masculino;0;0;1;0;-9,4697;-40,48;SR-PE;DEL11/6;UOP01/PE
1797;3713;07/01/2017;sábado;14:40:00;DF;80;23,3;BRASILIA;Sim;Falta de Atenção à Condução;1;Colisão lateral;Com Vítimas Fatais;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;2848;Bicicleta;;NA;Testemunha;Não Informado;NA;Não Informado;0;0;0;0;-15,636544;-48,20055;SR-DF;UOP06/DF;
1797;3709;07/01/2017;sábado;14:40:00;DF;80;23,3;BRASILIA;Sim;Falta de Atenção à Condução;1;Colisão lateral;Com Vítimas Fatais;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Não;2848;Bicicleta;;NA;Condutor;Óbito;35;Masculino;0;0;0;1;-15,636544;-48,20055;SR-DF;UOP06/DF;
1812;3657;07/01/2017;sábado;14:20:00;PA;163;965;BELTERRA;Sim;Ingestão de Álcool;1;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Interseção de vias;Sim;2799;Bicicleta;;NA;Testemunha;Não Informado;NA;Não Informado;0;0;0;0;-2,66112981;-54,83637929;SR-PA;DEL19/5;UOP01/PA
1812;3655;07/01/2017;sábado;14:20:00;PA;163;965;BELTERRA;Sim;Ingestão de Álcool;1;Colisão transversal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Interseção de vias;Sim;2799;Bicicleta;;NA;Condutor;Lesões Graves;68;Masculino;0;0;1;0;-2,66112981;-54,83637929;SR-PA;DEL19/5;UOP01/PA
1818;5870;07/01/2017;sábado;16:15:00;GO;40;7;VALPARAISO DE GOIAS;Sim;Desobediência às normas de trânsito pelo condutor;1;Colisão frontal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Sim;4529;Bicicleta;;NA;Testemunha;Não Informado;NA;Não Informado;0;0;0;0;-16,108482;-47,972524;SR-DF;UOP01/DF;
1818;5858;07/01/2017;sábado;16:15:00;GO;40;7;VALPARAISO DE GOIAS;Sim;Desobediência às normas de trânsito pelo condutor;1;Colisão frontal;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Simples;Reta;Sim;4529;Bicicleta;;NA;Condutor;Lesões Leves;53;Masculino;0;1;0;0;-16,108482;-47,972524;SR-DF;UOP01/DF;
1828;3630;07/01/2017;sábado;14:20:00;RO;319;63,1;PORTO VELHO;Sim;Falta de Atenção à Condução;1;Colisão lateral;Sem Vítimas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;2812;Bicicleta;;NA;Condutor;Ileso;22;Feminino;1;0;0;0;-8,75916346;-63,88569117;SR-RO;DEL21/1;UOP01/RO
1858;10312;07/01/2017;sábado;17:58:00;MT;364;202,5;RONDONOPOLIS;Sim;Falta de Atenção à Condução;1;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;7811;Bicicleta;;NA;Condutor;Lesões Leves;84;Masculino;0;1;0;0;-16,4787678;-54,6519506;SR-MT;DEL2/2;UOP01/MT
1894;3741;07/01/2017;sábado;21:00:00;ES;101;299,9;VIANA;Sim;Falta de Atenção à Condução;1;Colisão com objeto em movimento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Reta;Sim;2876;Bicicleta;;NA;Condutor;Lesões Graves;43;Masculino;0;0;1;0;-20,35950934;-40,43341309;SR-ES;DEL12/1;UOP01/ES
1895;3748;07/01/2017;sábado;21:00:00;MG;381;454;SABARA;Sim;Falta de Atenção à Condução;1;Colisão lateral;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Sim;2883;Bicicleta;;NA;Condutor;Lesões Graves;15;Masculino;0;0;1;0;-19,8419;-43,8649;SR-MG;DEL4/1;UOP01/MG
1904;3818;07/01/2017;sábado;20:00:00;PE;408;103;JABOATAO DOS GUARARAPES;Sim;Falta de Atenção à Condução;1;Colisão com objeto em movimento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Múltipla;Reta;Sim;2994;Bicicleta;;NA;Condutor;Lesões Leves;35;Masculino;0;1;0;0;-8,07426284;-34,99232626;SR-PE;DEL11/1;UOP01/PE
1974;3855;08/01/2017;domingo;03:05:00;MS;163;256,6;DOURADOS;Sim;Falta de Atenção à Condução;2;Atropelamento de Pedestre;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Não Informado;Sim;3024;Bicicleta;;NA;Condutor;Lesões Graves;37;Feminino;0;0;1;0;-22,25905711;-54,79974538;SR-MS;DEL3/4;UOP01/MS
1974;3855;08/01/2017;domingo;03:05:00;MS;163;256,6;DOURADOS;Sim;Falta de Atenção à Condução;1;Colisão com objeto em movimento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Dupla;Não Informado;Sim;3024;Bicicleta;;NA;Condutor;Lesões Graves;37;Feminino;0;0;1;0;-22,25905711;-54,79974538;SR-MS;DEL3/4;UOP01/MS
1991;5720;08/01/2017;domingo;04:10:00;RJ;101;277;TANGUA;Sim;Falta de Atenção à Condução;1;Atropelamento de Pedestre;Com Vítimas Feridas;Amanhecer;Decrescente;Céu Claro;Dupla;Reta;Não;4398;Bicicleta;;NA;Condutor;Lesões Leves;43;Masculino;0;1;0;0;-22,73756463;-42,7372591;SR-RJ;DEL5/2;UOP03/RJ
2016;3886;01/01/2017;domingo;05:47:00;MG;381;481,6;CONTAGEM;Sim;Mal Súbito;1;Tombamento;Com Vítimas Feridas;Amanhecer;Decrescente;Céu Claro;Múltipla;Reta;Sim;3052;Bicicleta;;NA;Condutor;Lesões Leves;56;Masculino;0;1;0;0;-19,95903963;-44,06282544;SR-MG;DEL4/1;UOP03/MG
2186;6818;08/01/2017;domingo;20:20:00;ES;101;303,9;VIANA;Sim;Falta de Atenção à Condução;1;Colisão com objeto em movimento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Múltipla;Reta;Sim;4928;Bicicleta;MONARK/;NA;Testemunha;Não Informado;NA;Não Informado;0;0;0;0;-20,37869565;-40,45095429;SR-ES;DEL12/1;UOP01/ES
2186;6818;08/01/2017;domingo;20:20:00;ES;101;303,9;VIANA;Sim;Falta de Atenção à Condução;2;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Múltipla;Reta;Sim;4928;Bicicleta;MONARK/;NA;Testemunha;Não Informado;NA;Não Informado;0;0;0;0;-20,37869565;-40,45095429;SR-ES;DEL12/1;UOP01/ES
2186;6441;08/01/2017;domingo;20:20:00;ES;101;303,9;VIANA;Sim;Falta de Atenção à Condução;1;Colisão com objeto em movimento;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Múltipla;Reta;Sim;4928;Bicicleta;MONARK/;NA;Condutor;Lesões Graves;42;Masculino;0;0;1;0;-20,37869565;-40,45095429;SR-ES;DEL12/1;UOP01/ES
2186;6441;08/01/2017;domingo;20:20:00;ES;101;303,9;VIANA;Sim;Falta de Atenção à Condução;2;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Múltipla;Reta;Sim;4928;Bicicleta;MONARK/;NA;Condutor;Lesões Graves;42;Masculino;0;0;1;0;-20,37869565;-40,45095429;SR-ES;DEL12/1;UOP01/ES
2314;4699;09/01/2017;segunda-feira;07:51:00;SC;101;204;SAO JOSE;Sim;Falta de Atenção à Condução;1;Colisão frontal;Com Vítimas Feridas;Pleno dia;Crescente;Sol;Dupla;Reta;Sim;3629;Bicicleta;;NA;Condutor;Lesões Leves;22;Masculino;0;1;0;0;-27,57511821;-48,61370406;SR-SC;DEL8/1;UOP01/SC
2339;4735;09/01/2017;segunda-feira;09:30:00;GO;40;8,9;LUZIANIA;Sim;Falta de Atenção à Condução;1;Colisão lateral;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Dupla;Reta;Sim;3659;Bicicleta;;NA;Condutor;Lesões Leves;67;Feminino;0;1;0;0;-16,12276812;-47,96340913;SR-DF;UOP01/DF;
2465;4984;09/01/2017;segunda-feira;13:35:00;RO;NA;NA;JI-PARANA;Sim;Desobediência às normas de trânsito pelo condutor;1;Colisão lateral;Com Vítimas Feridas;Pleno dia;Não Informado;Nublado;Simples;Interseção de vias;Sim;3857;Bicicleta;MONARK/;NA;Condutor;Lesões Leves;60;Masculino;0;1;0;0;-10,88692716;-61,93291694;SR-RO;DEL21/2;UOP01/RO
2465;4993;09/01/2017;segunda-feira;13:35:00;RO;NA;NA;JI-PARANA;Sim;Desobediência às normas de trânsito pelo condutor;1;Colisão lateral;Com Vítimas Feridas;Pleno dia;Não Informado;Nublado;Simples;Interseção de vias;Sim;3857;Bicicleta;MONARK/;NA;Testemunha;Não Informado;NA;Não Informado;0;0;0;0;-10,88692716;-61,93291694;SR-RO;DEL21/2;UOP01/RO
2504;9540;09/01/2017;segunda-feira;20:20:00;ES;101;155,9;LINHARES;Sim;Ultrapassagem Indevida;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;Reta;Não;3976;Bicicleta;;NA;Passageiro;Lesões Leves;4;Feminino;0;1;0;0;-19,44537351;-40,09407878;SR-ES;DEL12/4;UOP01/ES
2504;9521;09/01/2017;segunda-feira;20:20:00;ES;101;155,9;LINHARES;Sim;Ultrapassagem Indevida;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Simples;Reta;Não;3976;Bicicleta;;NA;Condutor;Lesões Graves;22;Masculino;0;0;1;0;-19,44537351;-40,09407878;SR-ES;DEL12/4;UOP01/ES
2519;7178;09/01/2017;segunda-feira;20:20:00;MG;267;312,3;CONCEICAO DO RIO VERDE;Sim;Falta de Atenção à Condução;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;5414;Bicicleta;;NA;Testemunha;Não Informado;NA;Não Informado;0;0;0;0;-21,9488671;-45,00100851;SR-MG;DEL5/4;UOP01/MG
2519;7104;09/01/2017;segunda-feira;20:20:00;MG;267;312,3;CONCEICAO DO RIO VERDE;Sim;Falta de Atenção à Condução;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;5414;Bicicleta;;NA;Condutor;Lesões Graves;36;Feminino;0;0;1;0;-21,9488671;-45,00100851;SR-MG;DEL5/4;UOP01/MG
2645;7473;10/01/2017;terça-feira;15:20:00;PE;101;45,4;IGARASSU;Sim;Desobediência às normas de trânsito pelo condutor;1;Colisão com objeto em movimento;Com Vítimas Feridas;Pleno dia;Crescente;Céu Claro;Simples;Reta;Sim;4206;Bicicleta;;NA;Condutor;Lesões Graves;53;Masculino;0;0;1;0;-7,84908635;-34,90998702;SR-PE;DEL11/1;UOP02/PE
2705;5558;10/01/2017;terça-feira;20:30:00;SC;280;27,2;ARAQUARI;Sim;Falta de Atenção à Condução;1;Colisão transversal;Com Vítimas Feridas;Anoitecer;Decrescente;Nublado;Simples;Reta;Sim;4241;Bicicleta;;NA;Condutor;Lesões Graves;19;Masculino;0;0;1;0;-26,39804914;-48,74097884;SR-SC;DEL8/3;UOP03/SC
2710;5538;10/01/2017;terça-feira;21:00:00;SC;101;193,2;BIGUACU;Sim;Falta de Atenção à Condução;2;Queda de ocupante de veículo;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Dupla;Interseção de vias;Sim;4221;Bicicleta;MONARK/;NA;Condutor;Lesões Leves;43;Masculino;0;1;0;0;-27,48967011;-48,65565956;SR-SC;DEL8/1;UOP01/SC
2710;5538;10/01/2017;terça-feira;21:00:00;SC;101;193,2;BIGUACU;Sim;Falta de Atenção à Condução;1;Colisão lateral;Com Vítimas Feridas;Plena Noite;Decrescente;Nublado;Dupla;Interseção de vias;Sim;4221;Bicicleta;MONARK/;NA;Condutor;Lesões Leves;43;Masculino;0;1;0;0;-27,48967011;-48,65565956;SR-SC;DEL8/1;UOP01/SC
2747;7267;10/01/2017;terça-feira;22:35:00;TO;153;92;WANDERLANDIA;Sim;Falta de Atenção à Condução;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;4342;Bicicleta;;NA;Testemunha;Não Informado;NA;Não Informado;0;0;0;0;-6,85619716;-47,9740811;SR-TO;UOP04/TO;
2747;7271;10/01/2017;terça-feira;22:35:00;TO;153;92;WANDERLANDIA;Sim;Falta de Atenção à Condução;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;4342;Bicicleta;;NA;Testemunha;Não Informado;NA;Não Informado;0;0;0;0;-6,85619716;-47,9740811;SR-TO;UOP04/TO;
2747;7273;10/01/2017;terça-feira;22:35:00;TO;153;92;WANDERLANDIA;Sim;Falta de Atenção à Condução;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;4342;Bicicleta;;NA;Testemunha;Não Informado;NA;Não Informado;0;0;0;0;-6,85619716;-47,9740811;SR-TO;UOP04/TO;
2747;7276;10/01/2017;terça-feira;22:35:00;TO;153;92;WANDERLANDIA;Sim;Falta de Atenção à Condução;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;4342;Bicicleta;;NA;Testemunha;Não Informado;NA;Não Informado;0;0;0;0;-6,85619716;-47,9740811;SR-TO;UOP04/TO;
2747;7429;10/01/2017;terça-feira;22:35:00;TO;153;92;WANDERLANDIA;Sim;Falta de Atenção à Condução;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;4342;Bicicleta;;NA;Testemunha;Não Informado;NA;Não Informado;0;0;0;0;-6,85619716;-47,9740811;SR-TO;UOP04/TO;
2747;7428;10/01/2017;terça-feira;22:35:00;TO;153;92;WANDERLANDIA;Sim;Falta de Atenção à Condução;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;4342;Bicicleta;;NA;Testemunha;Não Informado;NA;Não Informado;0;0;0;0;-6,85619716;-47,9740811;SR-TO;UOP04/TO;
2747;7188;10/01/2017;terça-feira;22:35:00;TO;153;92;WANDERLANDIA;Sim;Falta de Atenção à Condução;1;Colisão traseira;Com Vítimas Feridas;Plena Noite;Crescente;Céu Claro;Simples;Reta;Não;4342;Bicicleta;;NA;Condutor;Lesões Graves;53;Masculino;0;0;1;0;-6,85619716;-47,9740811;SR-TO;UOP04/TO;
2790;5704;11/01/2017;quarta-feira;09:18:00;PR;277;78;SAO JOSE DOS PINHAIS;Sim;Falta de Atenção à Condução;1;Atropelamento de Pedestre;Com Vítimas Feridas;Pleno dia;Decrescente;Céu Claro;Dupla;Reta;Sim;4391;Bicicleta;;NA;Pedestre;Lesões Leves;60;Masculino;0;1;0;0;-22,00960734;-50,14160156;SR-PR;DEL7/1;UOP01/PR
